#--- HERVK Group ---#
HML1	HERVK14-int	LTR14A,LTR14B	600
HML2	HERVK-int	LTR5,LTR5A,LTR5B,LTR5_Hs	1000
HML3	HERVK9-int	MER9a1,MER9a2,MER9a3,MER9B	500
HML4	HERVK13-int	LTR13,LTR13A,LTR13_	600
HML5	HERVK22-int	LTR22,LTR22A,LTR22B,LTR22C	600
HML6	HERVK3-int	LTR3,LTR3A,LTR3B,LTR3B_	500
HERVK11	HERVK11-int	MER11A,MER11B,MER11C	1000
HERVK11D	HERVK11D-int	MER11D	1000
HERVKC4	HERVKC4-int	LTR14	500
HERVK14C	HERVK14C-int	LTR14C	500
#--- HERVW group ---#
HERVW	HERV17-int	LTR17	750
HERV9	HERV9-int	LTR12,LTR12B,LTR12C,LTR12D,LTR12E,LTR12F,LTR12_v,LTR12_	1000
HERV30	HERV30-int	LTR30	600
#--- HERVE group ---#
HERVE	HERVE-int	LTR2,LTR2B,LTR2C	500
#--- HERVF group ---#
HERVFC1	HERV-Fc1-int	HERV-Fc1_LTR1,HERV-Fc1_LTR2,HERV-Fc1_LTR3	400
HERVFC2	HERV-Fc2-int	HERV-Fc2_LTR	350
HERVFH19	HERVFH19-int	LTR19A,LTR19B,LTR19C	500
HERVFH21	HERVFH21-int	LTR21A,LTR21B,LTR21C	500
HERVFRD	MER50-int	MER50,MER50B,MER50C	700
#--- HERVH group ---#
HERVH	HERVH-int	LTR7,LTR7A,LTR7B,LTR7C,LTR7Y	500
HERVH48	HERVH48-int	MER48	500
#--- HERVI group ---#
HERVI	HERVI-int	LTR10A,LTR10B,LTR10B1,LTR10C,LTR10D,LTR10E,LTR10F,LTR10G	1000
HERVIP10FH	HERVIP10FH-int	LTR10A,LTR10B,LTR10B2,LTR10C,LTR10D,LTR10E,LTR10F	1000
#--- HERVL group ---#
HERVL	HERVL-int	MLT2A1,MLT2A2,MLT2B1,MLT2B2,MLT2B3,MLT2B4,MLT2B5,LTR16,LTR16A,LTR16A1,LTR16A2,LTR16B,LTR16B1,LTR16B2,LTR16C,LTR16D,LTR16D1,LTR16D2,LTR16E1,LTR16E2	500
HERVL18	HERVL18-int	LTR18A,LTR18B,LTR18C	600
HERVL32	HERVL32-int	LTR32	500
HERVL40	HERVL40-int	LTR40a,LTR40b,LTR40c,LTR40A1	500
HERVL66	HERVL66-int	LTR66	600
HERVL74	HERVL74-int	MER74C	500
#--- Others ---#
HERV3	HERV3-int	LTR4,LTR61	600
PABLA	PABL_A-int	PABL_A	700
PABLB	PABL_B-int	PABL_B	700
HERVS71	HERVS71-int	LTR6A,LTR6B	600
MER61	MER61-int	MER61A,MER61B,MER61C	500
HERVP71A	HERVP71A-int	LTR71A,LTR71B	500
MER34B	MER34B-int	MER34B	600
